FileName\Heur: 4,0.0,0.01,0.02,0.1,0.3,1,2,3,5,10
a280.tsp,1.092 | 2815.0,1.076 | 2775.95,1.073 | 2766.5,1.078 | 2779.1,1.104 | 2846.05,1.125 | 2901.05,1.138 | 2935.579,1.156 | 2981.4,1.221 | 3149.05,1.337 | 3447.111
ali535.tsp,1.121 | 226728.0,1.138 | 230351.35,1.144 | 231477.45,1.127 | 228109.3,1.137 | 230138.2,1.163 | 235327.3,1.203 | 243468.45,1.231 | 249109.25,1.304 | 263903.15,1.461 | 295568.8
att48.tsp,1.07 | 11369.0,1.069 | 11365.85,1.069 | 11363.75,1.075 | 11424.6,1.085 | 11530.05,1.093 | 11611.4,1.094 | 11626.9,1.088 | 11562.15,1.103 | 11720.65,1.182 | 12567.05
att532.tsp,1.116 | 30897.0,1.113 | 30804.25,1.118 | 30950.25,1.115 | 30865.95,1.118 | 30963.55,1.122 | 31072.7,1.146 | 31717.15,1.179 | 32639.1,1.29 | 35720.7,1.538 | 42578.25
berlin52.tsp,1.203 | 9072.0,1.203 | 9072.3,1.203 | 9072.75,1.203 | 9075.3,1.177 | 8878.4,1.175 | 8860.0,1.154 | 8705.65,1.143 | 8621.15,1.136 | 8566.8,1.214 | 9156.6
bier127.tsp,1.094 | 129429.0,1.092 | 129119.45,1.092 | 129168.3,1.11 | 131277.0,1.117 | 132119.55,1.12 | 132425.55,1.129 | 133485.4,1.173 | 138761.0,1.196 | 141474.65,1.312 | 155239.75
burma14.tsp,1.073 | 3566.0,1.073 | 3566.2,1.073 | 3566.35,1.073 | 3566.85,1.071 | 3557.65,1.077 | 3578.45,1.08 | 3588.75,1.077 | 3578.05,1.079 | 3585.65,1.124 | 3735.7
ch130.tsp,1.065 | 6506.0,1.073 | 6558.1,1.071 | 6543.05,1.094 | 6687.15,1.113 | 6801.3,1.126 | 6881.95,1.135 | 6932.9,1.157 | 7069.2,1.205 | 7360.9,1.329 | 8122.1
ch150.tsp,1.135 | 7409.0,1.133 | 7393.35,1.129 | 7372.7,1.133 | 7394.05,1.118 | 7300.4,1.128 | 7364.2,1.13 | 7375.75,1.154 | 7534.05,1.2 | 7836.4,1.331 | 8686.45
d198.tsp,1.09 | 17195.0,1.089 | 17190.3,1.085 | 17122.9,1.091 | 17220.0,1.089 | 17177.45,1.092 | 17235.55,1.13 | 17830.65,1.177 | 18579.15,1.277 | 20152.15,1.547 | 24415.85
d657.tsp,1.126 | 55086.0,1.123 | 54935.55,1.122 | 54868.15,1.122 | 54857.85,1.117 | 54612.3,1.134 | 55458.0,1.178 | 57628.55,1.192 | 58312.35,1.277 | 62445.65,1.447 | 70768.8
dsj1000.tsp,1.136 | 21193997.0,1.138 | 21231429.7,1.136 | 21190811.4,1.136 | 21197264.15,1.135 | 21182042.85,1.144 | 21342722.65,1.2 | 22392560.55,1.27 | 23701358.35,1.435 | 26781701.1,1.834 | 34224065.65
eil101.tsp,1.102 | 693.0,1.121 | 705.05,1.126 | 708.0,1.117 | 702.55,1.13 | 710.95,1.109 | 697.7,1.099 | 691.4,1.075 | 676.45,1.047 | 658.867,1.105 | 695.059
eil51.tsp,1.026 | 437.0,1.028 | 437.9,1.034 | 440.4,1.038 | 442.25,1.055 | 449.4,1.079 | 459.45,1.094 | 466.15,1.096 | 467.05,1.064 | 453.316,1.141 | 485.95
eil76.tsp,1.089 | 586.0,1.089 | 586.1,1.09 | 586.2,1.094 | 588.6,1.097 | 590.2,1.094 | 588.4,1.082 | 582.1,1.084 | 583.2,1.048 | 563.9,1.101 | 592.2
fl417.tsp,1.131 | 13411.0,1.183 | 14031.75,1.176 | 13948.8,1.17 | 13883.167,1.164 | 13804.059,1.249 | 14810.3,1.43 | 16958.6,1.586 | 18811.15,1.926 | 22846.4,2.589 | 30705.75
gil262.tsp,1.115 | 2651.0,1.13 | 2687.4,1.137 | 2703.05,1.118 | 2658.95,1.132 | 2692.55,1.133 | 2694.4,1.154 | 2744.316,1.17 | 2783.176,1.227 | 2917.95,1.367 | 3251.9
gr137.tsp,1.127 | 78710.0,1.128 | 78778.45,1.129 | 78836.0,1.129 | 78862.4,1.113 | 77751.8,1.128 | 78827.75,1.172 | 81874.0,1.197 | 83622.35,1.309 | 91455.2,1.557 | 108733.8
gr202.tsp,1.131 | 45441.0,1.129 | 45357.2,1.129 | 45322.5,1.134 | 45555.7,1.126 | 45225.3,1.104 | 44324.9,1.1 | 44165.75,1.113 | 44685.55,1.146 | 46030.8,1.232 | 49470.45
gr229.tsp,1.06 | 142719.0,1.059 | 142581.4,1.06 | 142644.45,1.067 | 143619.15,1.088 | 146479.35,1.093 | 147087.35,1.117 | 150355.9,1.139 | 153305.45,1.189 | 160034.7,1.301 | 175051.3
gr431.tsp,1.083 | 185623.0,1.087 | 186331.65,1.088 | 186468.45,1.09 | 186773.9,1.095 | 187702.0,1.1 | 188546.3,1.126 | 192987.65,1.143 | 195970.75,1.208 | 207126.25,1.35 | 231466.25
gr666.tsp,1.128 | 332140.0,1.121 | 330079.3,1.122 | 330364.7,1.117 | 328903.0,1.114 | 327883.5,1.116 | 328369.1,1.159 | 341286.7,1.193 | 351297.35,1.252 | 368583.9,1.375 | 404703.55
gr96.tsp,1.162 | 64161.0,1.154 | 63735.2,1.14 | 62923.75,1.127 | 62239.15,1.117 | 61668.6,1.121 | 61880.7,1.132 | 62505.25,1.143 | 63095.7,1.198 | 66123.05,1.328 | 73334.25
kroA100.tsp,1.137 | 24191.0,1.146 | 24395.7,1.145 | 24358.9,1.135 | 24145.05,1.141 | 24282.95,1.139 | 24236.55,1.128 | 24001.6,1.128 | 24013.05,1.173 | 24966.5,1.304 | 27755.8
kroA150.tsp,1.108 | 29390.0,1.127 | 29889.65,1.136 | 30142.7,1.125 | 29846.85,1.123 | 29791.4,1.135 | 30109.35,1.133 | 30049.55,1.141 | 30258.3,1.143 | 30312.75,1.3 | 34482.5
kroA200.tsp,1.143 | 33573.0,1.143 | 33559.85,1.139 | 33458.8,1.133 | 33270.3,1.14 | 33488.9,1.137 | 33397.0,1.149 | 33751.95,1.168 | 34312.05,1.205 | 35387.2,1.31 | 38458.55
kroB100.tsp,1.099 | 24325.0,1.099 | 24323.95,1.098 | 24318.55,1.102 | 24391.45,1.108 | 24530.85,1.109 | 24549.95,1.121 | 24815.5,1.128 | 24971.65,1.151 | 25492.1,1.255 | 27786.95
kroB150.tsp,1.113 | 29094.0,1.113 | 29095.45,1.113 | 29088.3,1.111 | 29025.75,1.113 | 29093.2,1.124 | 29367.0,1.133 | 29614.95,1.143 | 29874.45,1.172 | 30621.25,1.269 | 33170.85
kroB200.tsp,1.118 | 32906.0,1.117 | 32877.6,1.117 | 32894.85,1.127 | 33189.2,1.131 | 33289.8,1.132 | 33309.05,1.145 | 33708.5,1.156 | 34033.05,1.194 | 35135.15,1.312 | 38620.85
kroC100.tsp,1.157 | 24005.0,1.157 | 24002.0,1.157 | 23999.1,1.154 | 23950.5,1.146 | 23781.2,1.138 | 23618.9,1.125 | 23344.45,1.15 | 23862.9,1.197 | 24845.9,1.32 | 27395.55
kroD100.tsp,1.098 | 23377.0,1.098 | 23378.9,1.098 | 23379.65,1.112 | 23688.25,1.156 | 24611.95,1.137 | 24204.6,1.146 | 24396.25,1.145 | 24387.2,1.158 | 24649.65,1.265 | 26939.05
kroE100.tsp,1.129 | 24919.0,1.13 | 24936.9,1.13 | 24942.2,1.126 | 24846.05,1.122 | 24754.35,1.117 | 24653.85,1.128 | 24895.8,1.136 | 25077.75,1.162 | 25648.8,1.274 | 28105.85
lin105.tsp,1.194 | 17170.0,1.195 | 17184.3,1.207 | 17359.45,1.221 | 17557.9,1.216 | 17487.2,1.199 | 17246.3,1.203 | 17294.05,1.198 | 17219.0,1.24 | 17832.65,1.344 | 19327.25
lin318.tsp,1.205 | 50640.0,1.192 | 50112.9,1.196 | 50266.9,1.177 | 49478.3,1.167 | 49029.55,1.175 | 49385.4,1.194 | 50196.65,1.229 | 51638.9,1.315 | 55284.45,1.485 | 62416.85
linhp318.tsp,1.225 | 50640.0,1.214 | 50196.7,1.206 | 49865.35,1.204 | 49797.55,1.194 | 49346.2,1.197 | 49470.1,1.201 | 49669.2,1.245 | 51480.2,1.343 | 55535.75,1.494 | 61776.05
p654.tsp,1.219 | 42214.0,1.212 | 41978.45,1.208 | 41833.3,1.174 | 40657.9,1.178 | 40802.368,1.339 | 46398.2,1.561 | 54075.5,1.788 | 61949.75,2.23 | 77241.8,3.143 | 108897.7
pcb442.tsp,1.102 | 55956.0,1.108 | 56258.55,1.112 | 56476.35,1.108 | 56237.85,1.102 | 55933.2,1.105 | 56092.0,1.135 | 57608.55,1.157 | 58745.25,1.212 | 61564.15,1.379 | 70025.0
pr107.tsp,1.062 | 47041.0,1.083 | 47977.0,1.077 | 47711.35,1.074 | 47594.2,1.104 | 48907.55,1.109 | 49117.4,1.124 | 49806.65,1.199 | 53140.95,1.295 | 57370.2,1.646 | 72930.2
pr124.tsp,1.109 | 65437.0,1.091 | 64394.1,1.098 | 64805.65,1.105 | 65241.55,1.104 | 65170.9,1.162 | 68569.25,1.25 | 73783.35,1.333 | 78685.45,1.432 | 84518.15,1.785 | 105354.85
pr136.tsp,1.039 | 100551.0,1.084 | 104929.0,1.106 | 107072.75,1.129 | 109260.1,1.145 | 110817.9,1.126 | 108938.9,1.101 | 106500.05,1.105 | 106889.9,1.139 | 110210.05,1.279 | 123819.1
